         92007 function calls (91912 primitive calls) in 1.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 client.py:1231(_send_request)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       76    0.000    0.000    0.000    0.000 core.py:60(valid_string_length)
        1    0.000    0.000    0.020    0.020 pyopenssl.py:208(get_subj_alt_name)
       26    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.003    0.003 socket.py:731(getaddrinfo)
        1    0.000    0.000    0.000    0.000 __init__.py:48(lookup)
        1    0.000    0.000    0.953    0.953 api.py:16(request)
        1    0.000    0.000    0.953    0.953 api.py:64(get)
        2    0.000    0.000    0.000    0.000 cookiejar.py:220(http2time)
        1    0.000    0.000    0.414    0.414 client.py:256(_read_status)
        7    0.000    0.000    0.000    0.000 sessions.py:50(merge_setting)
       30    0.000    0.000    0.000    0.000 _oid.py:58(__hash__)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.000    0.000 makefile.py:14(backport_makefile)
       17    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
        5    0.000    0.000    0.000    0.000 client.py:1185(putheader)
       77    0.000    0.000    0.000    0.000 extensions.py:1204(<genexpr>)
        2    0.000    0.000    0.000    0.000 extensions.py:1213(get_values_for_type)
        2    0.000    0.000    0.000    0.000 client.py:403(close)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       34    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.004    0.002 adapters.py:319(close)
        3    0.000    0.000    0.311    0.104 models.py:816(content)
        7    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:68(_default_key_normalizer)
        2    0.000    0.000    0.001    0.001 _htmlparser.py:163(handle_charref)
        1    0.000    0.000    0.000    0.000 models.py:597(__init__)
        5    0.000    0.000    0.001    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:514(_decode_extended_key_usage)
       17    0.000    0.000    0.000    0.000 _collections.py:214(add)
        1    0.000    0.000    0.002    0.002 utils.py:699(should_bypass_proxies)
      4/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
        2    0.000    0.000    0.000    0.000 SSL.py:1094(set_verify)
        8    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
        3    0.000    0.000    0.001    0.000 sre_parse.py:919(parse)
       11    0.000    0.000    0.000    0.000 element.py:1895(search_tag)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1377(_normalized_cookie_tuples)
        1    0.000    0.000    0.000    0.000 ssl.py:240(_inet_paton)
        1    0.000    0.000    0.000    0.000 connectionpool.py:950(_new_conn)
        3    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        7    0.000    0.000    0.000    0.000 utils.py:287(to_key_val_list)
        2    0.000    0.000    0.000    0.000 SSL.py:308(__init__)
       17    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 shlex.py:1(<module>)
        1    0.000    0.000    0.004    0.004 sessions.py:687(merge_environment_settings)
        1    0.000    0.000    0.090    0.090 ssl_.py:296(ssl_wrap_socket)
        1    0.000    0.000    0.000    0.000 _collections.py:53(__getitem__)
       23    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        2    0.000    0.000    0.002    0.001 cookies.py:118(extract_cookies_to_jar)
        1    0.000    0.000    0.002    0.002 decode_asn1.py:436(_decode_subject_alt_name)
        1    0.000    0.000    0.001    0.001 parser.py:42(parse)
        1    0.000    0.000    0.001    0.001 parser.py:60(parsestr)
        3    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        7    0.000    0.000    0.000    0.000 element.py:2069(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:606(request_host)
