         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      248    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      775    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       32    0.000    0.000    0.583    0.018 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      248    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
      361    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      121    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      121    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.201    0.201 connection.py:298(connect)
      248    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
       17    0.000    0.000    0.000    0.000 _oid.py:11(__init__)
       80    0.000    0.000    0.000    0.000 decode_asn1.py:755(_asn1_string_to_bytes)
       16    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      5/1    0.000    0.000    6.235    6.235 {built-in method builtins.exec}
        1    0.000    0.000    1.082    1.082 sessions.py:463(request)
        1    0.000    0.000    0.023    0.023 pyopenssl.py:370(getpeercert)
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
       16    0.000    0.000    0.001    0.000 parse.py:361(urlparse)
        3    0.000    0.000    0.003    0.001 __init__.py:71(search_function)
      346    0.000    0.000    0.000    0.000 element.py:1717(descendants)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_write}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       20    0.000    0.000    0.309    0.015 models.py:747(generate)
      7/3    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       19    0.000    0.000    0.000    0.000 parse.py:409(urlsplit)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        6    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
