         74905 function calls (74853 primitive calls) in 2.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        3    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.437    0.437 client.py:289(begin)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 ssl.py:1004(sendall)
        2    0.000    0.000    0.000    0.000 socket.py:139(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:221(makefile)
        1    0.000    0.000    0.435    0.435 client.py:256(_read_status)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.002    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.003    0.003 dammit.py:408(__init__)
       18    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 parse.py:409(urlsplit)
       11    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        7    0.000    0.000    0.000    0.000 element.py:1820(__init__)
        4    0.000    0.000    0.001    0.000 sre_parse.py:919(parse)
       43    0.000    0.000    0.003    0.000 re.py:232(compile)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       31    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      104    0.000    0.000    0.000    0.000 element.py:1858(_normalize_search_value)
      108    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.000    0.000 __init__.py:48(lookup)
       75    0.000    0.000    0.000    0.000 element.py:1291(get)
        1    0.000    0.000    0.000    0.000 socket.py:563(__init__)
        4    0.000    0.000    0.000    0.000 client.py:1185(putheader)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.061    0.061 client.py:925(connect)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        2    0.000    0.000    0.001    0.001 _htmlparser.py:163(handle_charref)
        1    0.000    0.000    0.003    0.003 request.py:575(build_opener)
        2    0.000    0.000    0.000    0.000 socket.py:416(close)
        1    0.000    0.000    0.014    0.014 client.py:1352(__init__)
        1    0.000    0.000    0.061    0.061 socket.py:691(create_connection)
       20    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      8/4    0.000    0.000    0.001    0.000 sre_parse.py:417(_parse_sub)
       43    0.000    0.000    0.000    0.000 enum.py:628(value)
